open,high,low,close,volume
2020-10-15 15:00:00-04:00,101.435,101.475,101.36,101.365,53486
2020-10-15 15:15:00-04:00,101.365,101.64,101.29,101.575,68877
2020-10-15 15:30:00-04:00,101.595,101.78,101.51,101.74,49187
2020-10-15 15:45:00-04:00,101.75,101.78,101.53,101.77,199540
2020-10-16 09:15:00-04:00,101.28,101.28,101.28,101.28,1000
2020-10-16 09:30:00-04:00,101.67,101.9,101.09,101.14,132734
2020-10-16 09:45:00-04:00,101.15,101.29,100.91,101.17,175410
2020-10-16 10:00:00-04:00,101.18,101.36,100.725,100.739,48712
2020-10-16 10:15:00-04:00,100.729,101.41,100.729,101.405,27005
2020-10-16 10:30:00-04:00,101.49,101.81,101.47,101.55,32820
2020-10-16 10:45:00-04:00,101.57,101.775,101.391,101.4,38740
2020-10-16 11:00:00-04:00,101.4,101.825,101.39,101.82,64427
2020-10-16 11:15:00-04:00,101.79,101.84,101.65,101.78,23900
2020-10-16 11:30:00-04:00,101.8,101.96,101.605,101.925,47006
2020-10-16 11:45:00-04:00,101.92,102.065,101.88,101.91,28070
2020-10-16 12:00:00-04:00,101.91,101.93,101.72,101.895,58365
2020-10-16 12:15:00-04:00,101.9,102.0,101.66,101.995,73638
2020-10-16 12:30:00-04:00,101.96,102.28,101.935,102.26,60316
2020-10-16 12:45:00-04:00,102.28,102.32,102.155,102.29,37623
2020-10-16 13:00:00-04:00,102.3,102.311,101.995,101.995,38232
2020-10-16 13:15:00-04:00,101.99,102.08,101.92,101.99,21786
2020-10-16 13:30:00-04:00,102.02,102.02,101.87,101.95,26146
2020-10-16 13:45:00-04:00,101.96,101.96,101.86,101.925,33972
2020-10-16 14:00:00-04:00,101.92,102.095,101.92,102.05,44389
2020-10-16 14:15:00-04:00,102.055,102.3,102.05,102.2,40525
2020-10-16 14:30:00-04:00,102.2,102.2,102.035,102.05,35766
2020-10-16 14:45:00-04:00,102.02,102.04,101.945,102.04,38456
2020-10-16 15:00:00-04:00,102.05,102.05,101.935,101.95,28608
2020-10-16 15:15:00-04:00,101.94,101.99,101.86,101.9,51973
2020-10-16 15:30:00-04:00,101.855,101.9,101.575,101.66,88844
2020-10-16 15:45:00-04:00,101.675,101.745,101.49,101.51,251389
2020-10-19 09:30:00-04:00,101.58,101.84,101.145,101.31,62743
